text_to_annotate,Hate_pos,Disagree
this is just a bad faith ploy to delay the confirmation vote,0,0
"The kennedy is with the people in the nwo, what he said in the speech proves it. He has made his decision.",0,0
Collectivists are Faggots. All flavors of them. From the Tribalists up to the Communists.,0.75,0
I'm shocked -- SHOCKED I TELL YOU -- that a man named Cohen betrayed Trump.,0,0
We could charge you double this way....good idea.,0,0
"I’m not sure if this is a place to post this, but I need genuine advice. A friend got super involved with SJWs and now they’re suddenly claiming they’re trans, something they never even hinted at before. I don’t know what to do because I have a feeling they’re doing it to fit in. ",0,0
🌻 DEFEND 🌻 EUROPA 🌻,0,0
Excellent follow-up to 'Q - The Plan to Save the World #Q #Qanon #GreatAwakening #ProjectMockingbird #DraintheSwamp #MAGA  #FollowtheWhiteRabbit https://m.youtube.com/watch?v=80s5xuvzCtg&noap...,0,0
💯😂👍🏻👍🏻👍🏻 Agreed shes fuckin on meds im sure,0.25,0
"#NotMyPope. I'm so glad I'm not a part of an organized church.Catholics get alot right, some wrong. But I'm never going to be a part of that church.",0,0
Monkey Shines - the remake.,0,0
"Jordan Peterson speaks truth, and that's such a threat to the left that I hope he's investing in personal security. http://thefederalist.com/2018/08/14/the-left-is-ac...",0,0
Establishment & Gov't riddled with kiddy fiddlers & #bbcnews are having a wankfest over #ABBA ,0,0
Word of The Hour  declaration: undisguised token of a ground or side taken on any subject  - See translations for declaration @ https://WordofTheHour.org/?w=declaration&id=730  #word #translations #ब्यौरा,0,0
@crowdsourcethetruth‍ Ready for a Massive #DeepDive?,0,0
I'll believe it when I see him being booked. ,0,0
"Antiwhites think the enviornment is responsible for differences between whites and blacks in the US. Alt right types understand that, that isn’t true. When the environmental determinist types try to reshape the environment of whites to change them, the alt right types suddenly forget how little effect that has.",0.25,0
"i think bare trees was their best, even if rumors was more popular. ",0,0
Sessions says that Crooked Hillary deserves “due process” http://www.foxnews.com/politics/2018/07/27/session...,0.25,0
"Abraham was the first Hebrew. He was neither Jew, nor from any tribe of Israel, because Israel (Jacob) hadn't been born yet.",0,0
all pedos all child traffickers should be shot and killed and that means hollywood and the msm and  the so called elite democrats! kill them all,1,0
You wouldn't have any tech if you didn't steal it from White People.  Could you build ICQ on rocks?  You haven't even written a programming Language all the major Programming Languages were written by White People!  Don't even mention Face Book>Stolen from a White Person so much theft and it's always Look at us jews we did this when you stole it.,0.25,0
"damn they got alex jones, that's sus",0,0
Can someone out here in KenyaGab world explain the situation politically that's getting you guys banned on Twitter? I really don't know the politics going on there but I hate Twitter censorship... so at the very least you're an enemy-of-my-enemy!,0,0
So I saw #Skyscraper for you #GabFam. Now I have opinions about it. Here they are: https://youtu.be/jyWjSREb4kw,0,0
Jesus is the final solution. ,0,0
"Shalom, fellow white people. Jews are also white Christian gentiles so you need to advocate for them over yourselves or else you’re a Nazi Muslim.",0.75,0
The bay area is still a big union town.  I remember when the Honda dealer in Berkeley was bought out and the new owners gave the employees a vote on whether to stay union or not.  The employees voted to get out of the union and the pissed off union picketed for days. Of course the people on the picket line never worked for Honda and were people who couldn't do anything else except walk around with a sign.,0,0
I used to eat at Sambos resturant. Had a wall painted with a little niglett being stalked by a Tiger. I loved it.,0.25,0
Anyone shouting Allahu Akbar should immediately be shot. There is no place in civilization for the barbaric Satanism known as Islam,1,0
"Drugs in His Pocket, Rope Around His Neck Tied to His Genitals, Sex Toy in His Boots. This, Is CNN. https://imgur.com/JgRJCI5  #LiberalFreaks",0.25,0
Save #FreeSpeech,0,0
"Tough times create tough #men tough men create safe spaces safe spaces create weak boys weak boys create tough times. Its time for tough men to protect #western values and #culture The values based on Judaeo-Christian beliefs, balanced by separation of state & church, where individualism and the rights of the individual are cherished #wakeupamamerica",0.25,0
Sara Carter’s report on DC judge ordering DOJ to preserve personal emails of James Comey. https://saraacarter.com/breaking-dc-court-orders-d...,0,0
Muslims  Why are they still here. War with them is coming. This could have all been avoided if our politicians had not sold us out Misanthrope,0.75,0
"Best article on Hanoi John's passing I've seen tonight:  Let’s be honest. John McCain is a bitter, angry crank who clings to resentments as tightly as an old woman clutches her pocketbook.  http://patriotretort.com/does-dying-make-you-a-sai...",0.5,1
"These normie race redpilled, but JQ igno Goys make me lafff... und laff.. und laff...  ",0.25,0
Nicholas Upchurch Shares How To Find Your Purpose #business #wealth #investing #money #realestate #podcast https://www.youtube.com/watch?v=eIKCAwhlWjU,0,0
I'm not religious but it feels like the end of days! 😳🐰,0,0
